SYMBOL,PRICE,TARGET,SCORE,RSI,DEBT_EQUITY,SECTOR,VOL_SURGE
ANUHPHR,78.04,89.75,8,58.1,0.0,Healthcare,0.85
ANUP,1863.3,2142.8,6,62.16,0.25,Industrials,0.88
ANURAS,1275.9,1467.29,10,54.25,0.38,Basic Materials,1.34
APARINDS,10767.0,12382.05,8,62.93,0.14,Industrials,1.6
APCL,115.66,133.01,6,51.1,2.23,Basic Materials,0.1
APCOTEXIND,379.35,436.25,10,61.01,0.23,Basic Materials,0.57
APEX,407.6,468.74,10,58.15,0.08,Consumer Defensive,0.53
APLAPOLLO,2040.3,2346.35,10,53.02,0.16,Basic Materials,0.85
APLLTD,720.15,828.17,8,55.48,0.28,Healthcare,0.35
APOLLO,232.52,267.4,6,61.94,0.33,Industrials,6.23
APOLLOHOSP,7481.5,8603.72,8,51.46,0.84,Healthcare,0.9
APOLLOPIPE,450.8,518.42,8,68.81,0.08,Industrials,0.4
APOLLOTYRE,440.35,506.4,8,55.54,0.29,Consumer Cyclical,0.69
APOLSINHOT,1046.6,1203.59,4,42.62,0.54,Industrials,0.13
APTECHT,82.98,95.43,8,55.64,0.06,Consumer Defensive,0.78
APTUS,217.83,250.5,6,50.54,1.57,Financial Services,1.81
AQYLON,45.2,51.98,2,15.49,13.27,Communication Services,0.52
ARCHIDPLY,80.13,92.15,4,60.06,1.78,Basic Materials,0.59
ARCHIES,14.6,16.79,8,55.29,0.33,Consumer Cyclical,0.3
ARE&M,740.15,851.17,4,44.08,0.04,Industrials,0.8
ARENTERP,39.48,45.4,8,53.76,0.0,Basic Materials,1.09
ARIES,365.7,420.56,10,59.73,0.21,Basic Materials,0.63
ARIHANTCAP,69.51,79.94,8,50.73,0.51,Financial Services,0.71
ARIHANTSUP,227.78,261.95,6,50.4,1.98,Real Estate,0.17
ARKADE,114.26,131.4,6,59.95,0.18,Real Estate,0.64
ARMANFIN,1602.0,1842.3,10,59.82,1.37,Financial Services,0.45
AROGRANITE,24.28,27.92,8,53.81,0.81,Industrials,1.31
ARROWGREEN,536.1,616.51,6,69.05,0.01,Consumer Cyclical,0.16
ARSHIYA,1.26,1.45,2,37.45,0.0,Industrials,2.42
ARTEMISMED,227.72,261.88,8,50.44,0.31,,0.71
ARTNIRMAN,41.11,47.28,8,59.9,0.53,Real Estate,1.1
ARVEE,169.27,194.66,6,63.82,0.03,Basic Materials,8.13
